stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\wayne\Final_Project\CSI2P-Final-Project-Template\CSI2P-Final-Project-Template\SourceCode\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.13883] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13885] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.13886] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13888] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.13889] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13891] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.13892] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13894] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.13895] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13897] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13898] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13900] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13908] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13910] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.13912] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13913] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.13915] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13916] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.13917] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13919] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.13920] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13922] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13923] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13925] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13926] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13928] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.13929] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13931] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.13932] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13934] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.13935] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13937] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.13938] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13939] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13941] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13942] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13944] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13945] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.13947] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13948] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.13950] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13951] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.13952] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13954] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.13955] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13957] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13958] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13960] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13961] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13963] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.13964] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13966] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.13967] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13969] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.13970] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13972] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.13973] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13975] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13976] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13978] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13979] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13980] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.13982] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13983] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.13985] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13986] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.13988] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13989] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.13991] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13992] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13993] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.13995] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.13996] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.13998] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.13999] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14001] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.14002] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14004] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.14005] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14007] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.14008] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14010] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14011] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14013] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.14014] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14015] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.14017] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14018] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.14020] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14021] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.14023] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14024] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.14026] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14027] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14029] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14030] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14032] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14033] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14035] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14036] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14037] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14039] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14040] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14042] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14043] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14045] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14046] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14048] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14051] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14053] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14054] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14056] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14057] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14059] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14060] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14062] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14063] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14065] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14066] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14068] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14069] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14071] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14072] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14074] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14075] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14077] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14079] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14081] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14082] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14084] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14085] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14087] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14088] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14090] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14091] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14093] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14094] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14096] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14097] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14099] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14100] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14102] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14103] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14105] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14106] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14108] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14109] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14125] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14128] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14130] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14131] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14133] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14134] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14136] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14137] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14139] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14140] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14142] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14143] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14145] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14146] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14148] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14149] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14151] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14152] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14154] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14155] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14157] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14158] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14160] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14161] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14163] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14164] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14166] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14167] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14182] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14187] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14189] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14191] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14193] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14195] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14197] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14199] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14201] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14202] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14204] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14206] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14208] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14210] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14212] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.14214] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14225] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.14228] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14231] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.14233] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14235] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.14236] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14238] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.14240] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14243] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.14245] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14247] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.14248] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14250] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.14252] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14254] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.14256] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14258] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.14260] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14261] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.14263] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14265] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.14267] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14269] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.14271] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14273] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.14274] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14276] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.14278] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14280] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.14292] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14298] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.14300] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14311] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.14313] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14315] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.14316] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.14318] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.14319] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14320] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.14322] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14328] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.14330] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14332] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.14333] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14334] Score is : 587
